date,ticker,close
2026-04-10,AAPL,260.4800109863281
2026-04-13,AAPL,259.20001220703125
2026-04-14,AAPL,258.8299865722656
2026-04-15,AAPL,266.42999267578125
2026-04-16,AAPL,263.3999938964844
2026-04-17,AAPL,270.2300109863281
2026-04-10,KO,77.47000122070312
2026-04-13,KO,76.41000366210938
2026-04-14,KO,75.9000015258789
2026-04-15,KO,75.30999755859375
2026-04-16,KO,75.18000030517578
2026-04-17,KO,75.73999786376953
2026-04-10,MSFT,370.8699951171875
2026-04-13,MSFT,384.3699951171875
2026-04-14,MSFT,393.1099853515625
2026-04-15,MSFT,411.2200012207031
2026-04-16,MSFT,420.260009765625
2026-04-17,MSFT,422.7900085449219
2026-04-10,NVDA,188.6300048828125
2026-04-13,NVDA,189.30999755859375
2026-04-14,NVDA,196.50999450683594
2026-04-15,NVDA,198.8699951171875
2026-04-16,NVDA,198.35000610351562
2026-04-17,NVDA,201.67999267578125
2026-04-10,SPY,679.4600219726562
2026-04-13,SPY,686.0999755859375
2026-04-14,SPY,694.4600219726562
2026-04-15,SPY,699.9400024414062
2026-04-16,SPY,701.6599731445312
2026-04-17,SPY,710.1400146484375
2026-04-10,TSLA,348.95001220703125
2026-04-13,TSLA,352.4200134277344
2026-04-14,TSLA,364.20001220703125
2026-04-15,TSLA,391.95001220703125
2026-04-16,TSLA,388.8999938964844
2026-04-17,TSLA,400.6199951171875
